people_name,money_received,hb_id
a,-20,1
b,3.2,1
c,0.02,1
d,0.36,1
e,-30,2
f,4.59,2
a,0.52,2
b,1.92,2
c,0.78,2
g,2.55,2
a,1.09,3
f,3.01,3
e,6.33,3
r,4.59,3
q,1.55,3
b,3.47,3
h,2.23,3
n,0.96,3
z,2.18,3
a,-30,4
h,2.26,4
n,0.85,4
b,2.31,4
f,2.76,4
